IdAlbum,Num,Titre,IdSerie,IdDessinateur,IdColoriste,IdScenariste,Editeur,Reference,Couverture,,Exlibris,NbPages,Planche,IdBEL,Exemplaires
470,1,Première partie,152,259,259,13,Futuropolis,2-7548-0003-4,MemoireDansLesPochesLa1_07062006.jpg,,memoiredanslespoches01v.jpg,86,memoiredanslespoches01p.jpg,56523,4
471,2,Deuxième partie,152,259,260,13,Futuropolis,978-2-7548-0099-0,memoireanslespoches02_87937.jpg,,memoireanslespoches02v_87937.jpg,69,memoireanslespoches02p_87937.jpg,87937,5
472,1,La Géométrie du hasard,153,122,122,122,Quadrants,978-2-302-00093-3,QuelquesPasVersLaLumiere01_71184.jpg,,QuelquesPasVersLaLumiere01v_71184.jpg,46,QuelquesPasVersLaLumiere01p_71184.jpg,71184,6
473,2,Le Voyage improbable,153,122,122,122,Quadrants,978-2-30200-543-3,quelquecouv_87030.jpg,,quelquedos_87030.jpg,46,AlbquelquesPasVersLaLumiere2_24042009_183148.jpg,87030,2
474,3,Les Voyageurs de l'autre monde,153,122,122,122,Quadrants,978-2-302-01242-4,Couv_114228.jpg,,Verso_114228.jpg,46,PlancheA_114228.jpg,114228,4
475,1,La marque du diable,154,262,262,261,Dargaud,2-87129-301-5,scorpion01.jpg,,scorpion01v.jpg,46,Scorpion01p_2052.jpg,2052,3
476,2,Le secret du Pape,154,262,262,261,Dargaud,2-87129-352-X,scorpion02.jpg,,scorpion02v.jpg,46,Scorpion02p_6461.jpg,6461,2
477,3,La croix de Pierre,154,262,262,261,Dargaud,2-87129-463-1,scorpion03couv.JPG,,scorpion03v.jpg,46,PlancheA_20698.jpg,20698,2
478,4,Le Démon au Vatican,154,262,262,261,Dargaud,2-87129-570-0,scorpion04.JPG,,scorpion04v.jpg,46,Scorpion04p_34408.jpg,34408,5
479,5,La vallée sacrée,154,262,262,261,Dargaud,2-87129-677-4,scorpion05.JPG,,scorpion05v.jpg,46,Scorpion05p_40160.jpg,40160,6
